省,市,展现量,点击量,花费,总成交金额,投入产出比,点击转化率,平均温度均值_3/11-3/20,综合分
福建,三明,311977,15945,12200.46,151162.16,12.39,0.05764,16.7,75.77848281061547
云南,怒江,9298,555,356.93,5586.42,15.65,0.07387,18.4,69.91633560796704
福建,厦门,1217425,67507,59039.2,506372.94,8.58,0.07756,16.6,58.84208164805585
湖南,郴州,138264,7627,5799.47,54652.93,9.42,0.05336,15.5,53.13613685901299
福建,南平,297158,16124,12435.07,109874.99,8.84,0.04806,16.8,52.91321579172121
福建,漳州,552493,31311,25399.83,209435.98,8.25,0.05675,17.5,52.417734916747015
湖北,孝感,178020,9463,7231.57,65203.8,9.02,0.04819,11.5,51.55535052541421
福建,福州,1813270,98529,84961.13,625671.85,7.36,0.05242,15.2,50.84002510748768
四川,宜宾,106938,6036,4715.06,43346.87,9.19,0.05136,11.9,50.7206740276155
广东,广东,181098,8044,6046.89,54108.47,8.95,0.05743,18.8,50.682871118376056
福建,泉州,1450642,77884,63334.0,464675.16,7.34,0.05275,16.1,49.633682363459656
广西,贵港,67799,3620,2440.69,23063.42,9.45,0.05331,19.1,49.25786947317943
江西,宜春,212350,11174,8692.71,73182.86,8.42,0.05056,14.5,48.816874073942124
广东,湛江,245049,12253,8731.06,72907.29,8.35,0.05337,20.5,48.55339810087685
河南,驻马店,115431,6330,4172.87,37348.93,8.95,0.04218,10.9,48.48758626587159
安徽,黄山,137595,7597,6079.6,52408.88,8.62,0.04765,11.4,48.37962523328463
江西,鹰潭,84365,4775,3912.57,34904.86,8.92,0.05089,13.9,48.31912861072609
湖北,黄冈,177856,10548,7022.18,59913.89,8.53,0.04133,12.0,48.27780162528064
云南,云南,7777,369,224.74,2630.69,11.71,0.06504,14.8,48.209558707989444
贵州,黔南,78895,4591,3066.49,27698.88,9.03,0.05075,11.1,47.818262870562904
四川,广安,71619,3994,2506.49,23179.72,9.25,0.03981,12.1,47.80152732172865
湖南,怀化,123919,7165,4638.84,40381.31,8.71,0.04033,12.9,47.52867060642676
四川,达州,112660,5984,4017.22,35331.62,8.8,0.04061,12.1,47.41857234038945
浙江,温州,1599604,81611,62826.86,440168.26,7.01,0.04352,13.6,46.98877572116411
湖北,随州,59681,3395,2085.37,19335.62,9.27,0.03682,11.2,46.962918997020004
四川,乐山,133763,6712,4916.48,42097.71,8.56,0.04052,11.7,46.90506577728724
河南,焦作,122306,6567,3745.87,32885.8,8.78,0.03502,11.9,46.82922895152895
河南,信阳,211057,11299,8467.86,68606.1,8.1,0.04487,11.3,46.56051279294761
云南,临沧,40905,1980,1269.42,12026.39,9.47,0.05253,17.7,46.23794955474679
四川,凉山,63446,3409,2490.99,22195.57,8.91,0.04928,13.9,46.201672544070824
广东,汕头,1052835,59397,42470.51,300839.89,7.08,0.0448,18.6,46.184752269589815
江西,上饶,372775,21430,16754.97,127343.61,7.6,0.04372,13.8,46.117278189793446
山东,聊城,59559,3289,2049.35,18554.09,9.05,0.05017,10.2,46.081059893272204
浙江,台州,989251,52954,40541.67,286649.56,7.07,0.04477,12.5,45.88897784349579
广东,揭阳,733331,41400,28286.55,204750.84,7.24,0.04174,18.3,45.706185437443004
贵州,黔东南,79754,4561,2971.28,25857.94,8.7,0.04232,10.5,45.57239072769845
浙江,丽水,342712,17629,13583.16,103481.48,7.62,0.04317,14.0,45.42977046360686
广东,东莞,1245145,66380,50422.84,346563.27,6.87,0.04711,19.6,45.42555394171366
浙江,宁波,1519020,78695,62585.6,423852.21,6.77,0.0434,11.5,45.276927265830736
广东,广州,2461759,133955,108926.43,703774.68,6.46,0.04961,19.2,45.16971428204385
浙江,杭州,2690927,134989,117925.49,757884.75,6.43,0.04556,11.0,45.00239568746096
江西,南昌,693404,39029,30455.52,215350.34,7.07,0.04276,13.2,44.82469230907146
江西,赣州,360061,20213,14443.19,108263.78,7.5,0.03958,16.1,44.81965689628002
江西,抚州,246087,13725,10095.41,77740.03,7.7,0.04015,13.6,44.69588304640219
广西,崇左,39002,1898,1170.19,10843.2,9.27,0.04742,19.1,44.67917250548957
四川,成都,1837171,98909,74303.24,491275.3,6.61,0.03842,10.7,44.570838336061314
广东,深圳,2342398,127980,107204.89,681520.31,6.36,0.05063,19.9,44.43192330046651
湖南,常德,224899,12586,9128.85,70375.22,7.71,0.04179,12.7,44.40870925232929
江西,新余,74601,3802,2794.94,23746.29,8.5,0.04761,14.0,44.3880007151788
江西,景德镇,167213,9720,7378.16,57825.12,7.84,0.04228,12.6,44.377967754333
江西,江西,20843,809,567.59,5590.63,9.85,0.05686,13.3,44.336753620183124
浙江,金华,1117620,59672,48591.91,327939.15,6.75,0.04282,12.1,44.27007910406518
安徽,合肥,1399758,73445,56104.31,376162.75,6.7,0.03612,11.1,44.20116244016897
浙江,绍兴,794887,39940,31823.76,220982.08,6.94,0.04241,11.1,44.0845697151959
福建,宁德,517621,30280,23273.54,164373.02,7.06,0.04316,15.2,43.841746011314804
福建,莆田,436560,24376,19611.22,139612.58,7.12,0.04669,15.2,43.726716123357605
四川,攀枝花,30927,1544,1098.52,9939.03,9.05,0.05311,17.3,43.4158720628401
湖北,十堰,92612,5383,3220.02,26696.84,8.29,0.034,10.4,43.3712407705825
陕西,安康,73254,4418,2939.45,24441.34,8.31,0.03848,10.3,43.23981979730701
湖南,长沙,1168762,64906,50421.75,331353.27,6.57,0.0405,13.4,43.10444901679827
湖南,衡阳,197487,10537,8312.7,62255.91,7.49,0.04641,14.4,42.87744792162357
湖北,武汉,1577824,83347,63643.02,408422.49,6.42,0.03847,12.4,42.751492217235295
江西,九江,329068,17981,13202.3,95545.58,7.24,0.03587,11.9,42.706976345622074
湖南,株洲,157743,8632,6267.42,47910.78,7.64,0.04124,13.4,42.53978572593605
湖南,永州,114191,5821,4915.92,38077.6,7.75,0.04948,14.2,42.49760492865388
河南,南阳,163616,8968,5703.45,44075.61,7.73,0.03368,11.1,42.45249072871525
福建,龙岩,270118,14191,10740.22,77997.35,7.26,0.04545,17.3,42.426427914314644
重庆,重庆,1859983,102927,70936.37,449672.31,6.34,0.03373,13.1,42.40449688641201
湖北,荆州,295273,15733,11416.48,82805.49,7.25,0.03769,12.0,42.30114873117265
江苏,南京,1355762,73196,56342.21,361198.78,6.41,0.03862,10.4,42.277582705077826
河北,石家庄,336119,18107,12062.12,86772.02,7.19,0.0391,10.3,42.15492842710209
广西,南宁,462507,23959,18567.97,127283.75,6.86,0.0505,19.0,42.02184419692697
广东,佛山,1252158,66535,51704.59,328702.75,6.36,0.04673,19.4,41.99116069476943
广东,中山,438051,23168,17314.54,118883.74,6.87,0.04778,19.4,41.76849992700412
云南,昆明,535051,28368,20159.58,137076.74,6.8,0.0416,12.8,41.59223186304049
广东,汕尾,312213,16789,11739.29,82635.0,7.04,0.04443,19.3,41.38004646368855
广西,百色,81480,4344,2543.36,20281.23,7.97,0.04213,20.2,40.98713914266549
安徽,芜湖,468187,25312,20295.14,136130.85,6.71,0.03903,10.6,40.93762715012444
湖北,仙桃,39144,2174,1620.61,13395.11,8.27,0.05014,11.7,40.914945733260794
河南,郑州,873879,46279,30433.69,198412.48,6.52,0.03325,11.6,40.879333433138754
广东,潮州,398777,22072,15821.12,107549.58,6.8,0.04241,18.7,40.85073619357437
浙江,衢州,296785,15885,11914.37,82669.64,6.94,0.03979,13.2,40.615190705445066
广西,钦州,61995,3631,2380.03,18818.83,7.91,0.04599,19.9,40.50644553351262
安徽,安庆,266988,14654,11394.67,79262.3,6.96,0.03699,11.3,40.4789461434891
河南,许昌,101929,5619,4126.34,31137.08,7.55,0.03862,10.8,40.323455118865205
河南,安阳,95617,5376,2899.06,22747.27,7.85,0.02641,11.2,40.28085918181139
湖北,襄阳,191857,10300,6750.6,48948.4,7.25,0.03311,11.0,40.24801616548281
广东,云浮,73514,3994,2557.37,19904.64,7.78,0.04532,18.6,40.05177012793118
江苏,无锡,968404,49121,36435.47,229081.66,6.29,0.03754,10.1,40.042281070138415
安徽,亳州,135816,7356,4973.56,36789.56,7.4,0.0329,10.5,39.99008730718908
湖北,黄石,136358,7624,5369.13,39174.46,7.3,0.03804,12.2,39.86489120408296
湖北,恩施,87605,4857,3437.16,26001.31,7.56,0.04344,11.5,39.845455691817115
四川,泸州,89847,4847,3555.8,26851.66,7.55,0.03982,12.3,39.81550361884071
江苏,苏州,1731126,90766,69460.56,414986.09,5.97,0.03662,10.0,39.81256803053124
湖南,湘西,55454,3282,2184.81,17206.24,7.88,0.03778,12.3,39.683556887603224
江西,萍乡,76910,4125,3046.01,23255.0,7.63,0.03927,14.2,39.67732485714069
湖北,咸宁,114319,6442,4560.13,33623.9,7.37,0.03601,12.3,39.61213659666765
四川,绵阳,206879,12111,8799.46,61191.59,6.95,0.03699,10.3,39.51339030501615
广西,北海,78332,4494,3019.06,22719.24,7.53,0.04984,20.1,39.46295805714081
河南,濮阳,49124,2774,1729.88,13798.24,7.98,0.03713,11.1,39.25905150068829
河北,邢台,116467,6420,3761.99,27934.19,7.43,0.03723,10.0,39.24974175143296
湖北,荆门,128450,6423,4650.0,33644.03,7.24,0.04157,11.9,39.0996066707716
